method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
BO-online,100,10,1,2.362122953525594,2.3930562365503847,12,8.499889073112541,0.27578023892219505,audit_grid,94.6045464327789,95.32224946201538,189.92679589479428,384.20001529197907,1071,240,1311,
MARL,100,10,1,4.802,5.401,2,24.4567309769248,29.72795882569279,audit_grid,22.35240405723444,18.702861810285658,41.0552658675201,18.86933554103598,60,240,300,
GA,150,1,1,2.878185,2.92885,14,13.157907422554018,0.025831932773101585,audit_grid,124.21704862607979,116.75400000000002,240.9710486260798,4296.554534874973,3523,240,3763,
BO-online,150,1,1,2.8592090846745988,2.868814077767144,14,14.45528493091301,2.5401247155746063,audit_grid,123.80402426111965,114.35256311068576,238.15658737180541,1295.7528061670018,1071,240,1311,
MARL,150,1,1,4.802,5.401,4,43.07657694095251,41.679304990373694,audit_grid,46.214975491883266,39.45326467817769,85.66824017006095,69.59588620800059,60,240,300,
GA,150,2,1,2.750428,2.73876,13,2.1278688023850236,1.492685132444251,audit_grid,104.72086619707342,107.08011946757372,211.80098566464716,3542.017658625031,3395,240,3635,
BO-online,150,2,1,3.8695990247907077,2.1445878993215337,12,6.832236294134205,0.8432566385587563,audit_grid,114.49522293523843,85.38351597286136,199.8787389080998,1165.9737057499588,1071,240,1311,
MARL,150,2,1,4.802,5.401,4,19.142824087548398,40.095441867540174,audit_grid,44.16209926622921,32.235891543623254,76.39799080985247,59.1088245830033,60,240,300,
GA,150,3,1,4.858381,3.392798,17,2.8532717162401866,0.7878267488694348,audit_grid,196.64820668786422,133.057921628303,329.7061283161672,3849.288600250031,2278,240,2518,
BO-online,150,3,1,4.769304393995732,3.426687923234008,17,3.945033455596274,1.4908858513523455,audit_grid,194.82962555534223,133.72472320772835,328.5543487630706,1831.0432764579891,1071,240,1311,
MARL,150,3,1,4.802,5.401,12,20.244483607266574,26.965217931167246,audit_grid,137.37442506591543,106.8805304460052,244.25495551192063,100.65663120802492,60,240,300,
GA,150,4,1,3.34249,3.172809,14,24.024422560401774,0.3346988235294077,audit_grid,136.86293116387512,126.51235999999999,263.3752911638751,4246.943673667032,3345,240,3585,
BO-online,150,4,1,4.317221505393631,2.505585025720545,13,31.115508530334125,4.875758635043738,audit_grid,143.744763390067,99.82340102882178,243.56816441888878,1339.8741950410185,1071,240,1311,
MARL,150,4,1,4.802,5.401,6,22.37257335192602,37.35284802088992,audit_grid,71.93953195212539,66.08848620350854,138.02801815563393,70.03608016698854,60,240,300,
GA,150,5,1,3.419838,3.180115,14,9.014352365067452,0.2509168967708888,audit_grid,131.1771925392813,125.16683330117237,256.3440258404537,3414.669940833992,2915,240,3155,
