pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps,social_cost,centralized_success
1.272727273,0.06060606061,39.66922576,2.024242424,41.69346818,45.87428048,395.9505892,1
1.333333333,0.06060606061,40.61363542,2.024242424,42.63787784,44.70197913,397.8322431,1
1.393939394,0.06060606061,41.54174441,2.024242424,43.56598683,44.70175792,399.6715973,1
1.454545455,0.06060606061,36.50890387,2.024242424,38.53314629,43.49884286,405.1291049,1
1.515151515,0.06060606061,43.33370692,2.024242424,45.35794935,43.49813752,403.2340445,1
1.575757576,0.06060606061,44.98673525,2.024242424,47.01097768,41.21212121,406.0016531,1
1.636363636,0.06060606061,45.05612434,2.024242424,47.08036676,42.33515308,406.6566235,1
1.696969697,0.06060606061,40.00094664,2.024242424,42.02518907,38.78787879,413.231526,1
1.757575758,0.06060606061,40.71599648,2.024242424,42.74023891,38.78787879,414.6559599,1
1.818181818,0.06060606061,40.87404079,2.024242424,42.89828322,37.02865901,413.8072523,1
1.878787879,0.06060606061,41.55801347,2.024242424,43.58225589,37.03051977,415.1660318,1
1.939393939,0.06060606061,42.41134055,2.024242424,44.43558297,34.0837191,423.5045875,1
2,0.06060606061,42.89143088,2.024242424,44.9156733,35.0913151,417.8193684,1
2.060606061,0.06060606061,50.62530361,2.024242424,52.64954604,34.0837851,417.7329647,1
2.121212121,0.06060606061,44.18605156,2.024242424,46.21029398,35.0729197,420.3934481,1
2.181818182,0.06060606061,53.01754792,2.024242424,55.04179034,34.08074476,421.9975265,1
2.242424242,0.06060606061,45.4395784,2.024242424,47.46382082,33.04731988,422.8949732,1
2.303030303,0.06060606061,46.05611258,2.024242424,48.080355,31.97633844,424.1203742,1
2.363636364,0.06060606061,46.6633333,2.024242424,48.68757572,31.97942795,425.3297551,1
2.424242424,0.06060606061,55.91276652,2.024242424,57.93700895,33.07351017,427.7596457,1
2.484848485,0.06060606061,51.4316749,2.024242424,53.45591732,30.87978077,435.8307379,1
2.545454545,0.06060606061,48.4427067,2.024242424,50.46694912,31.97891353,428.8677153,1
2.606060606,0.06060606061,49.01023923,2.024242424,51.03448165,30.87651755,430.0187873,1
2.666666667,0.06060606061,49.58774093,2.024242424,51.61198335,30.87628501,431.1565207,1
2.727272727,0.06060606061,50.15287248,2.024242424,52.17711491,30.87642629,432.2814135,1
2.787878788,0.06060606061,59.98999577,2.024242424,62.01423819,28.55235699,435.8869254,1
2.848484848,0.06060606061,51.26103067,2.024242424,53.2852731,28.55076586,434.4943103,1
2.909090909,0.06060606061,51.80865812,2.024242424,53.83290054,28.55234859,435.5830988,1
2.96969697,0.06060606061,51.73240516,2.024242424,53.75664759,26.66666667,439.7157543,1
3.03030303,0.06060606061,52.88455481,2.024242424,54.90879724,28.55242142,437.727168,1
3.090909091,0.06060606061,53.41473627,2.024242424,55.43897869,26.66666667,438.7831194,1
3.151515152,0.06060606061,44.53316087,2.024242424,46.5574033,24.24242424,444.425736,1
3.212121212,0.06060606061,54.4585358,2.024242424,56.48277823,26.66666667,440.86441,1
3.272727273,0.06060606061,54.97316044,2.024242424,56.99740286,24.24242424,441.8903269,1
3.333333333,0.06060606061,45.80798229,2.024242424,47.83222472,26.66666667,446.9668323,1
3.393939394,0.06060606061,55.98823912,2.024242424,58.01248155,24.24242424,443.9140492,1
3.454545455,0.06060606061,56.48883289,2.024242424,58.51307532,24.24242424,444.9123567,1
3.515151515,0.06060606061,56.98517656,2.024242424,59.00941898,20.06536193,445.9019449,1
3.575757576,0.06060606061,57.47699793,2.024242424,59.50124035,20.06506305,446.8830383,1
3.636363636,0.06060606061,48.69107183,2.024242424,50.71531425,21.81818182,450.2047755,1
3.696969697,0.06060606061,49.4339989,2.024242424,51.45824133,21.15689829,449.8985501,1
3.757575758,0.06060606061,58.92807323,2.024242424,60.95231565,21.15682653,449.7774564,1
3.818181818,0.06060606061,50.24121872,2.024242424,52.26546114,19.39393939,451.5106186,1
3.878787879,0.06060606061,50.64027748,2.024242424,52.66451991,19.39393939,452.3070563,1
3.939393939,0.06060606061,53.07120655,2.024242424,55.09544898,19.39393939,456.0873307,1
4,0.06060606061,42.35218457,2.024242424,44.37642699,17.6378112,456.2271511,1
4.060606061,0.06060606061,53.88604663,2.024242424,55.91028906,24.24242424,457.7120435,1
4.121212121,0.06060606061,50.96056237,2.024242424,52.98480479,16.96969697,457.2505298,1
4.181818182,0.06060606061,54.68761942,2.024242424,56.71186184,16.96969697,459.3126826,1
4.242424242,0.06060606061,53.28262043,2.024242424,55.30686286,14.54545455,457.5788292,1
4.303030303,0.06060606061,55.47840997,2.024242424,57.5026524,14.54545455,460.8902872,1
4.363636364,0.06060606061,42.07988013,2.024242424,44.10412256,17.91011563,460.1282547,1
4.424242424,0.06060606061,56.257942,2.024242424,58.28218442,13.27782836,462.4458242,1
4.484848485,0.06060606061,56.64371061,2.024242424,58.66795303,12.12121212,463.2156013,1
4.545454545,0.06060606061,57.0265624,2.024242424,59.05080483,12.12121212,463.9801946,1
4.606060606,0.06060606061,55.18229047,2.024242424,57.20653289,12.12121212,464.6551951,1
4.666666667,0.06060606061,45.03407529,2.024242424,47.05831772,14.95592047,465.33874,1
4.727272727,0.06060606061,35.4794867,2.024242424,37.50372913,24.51050906,465.0653345,1
4.787878788,0.06060606061,45.61733321,2.024242424,47.64157563,14.37266256,466.5034423,1
